Timestamp,Velocity,accel_X,accel_Y,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1
20200706_154749_98446062,0.0,4.5e-05,0.000318,-0.002577,-9.0,0.0,0.0, 0.0, 0.0,2
20200706_154749_98479394,0.0,2.5e-05,-0.000545,-0.002609,-10.0,0.0,0.0, 0.0, 0.0,2
20200706_154749_98496060,0.0,7.4e-05,0.000367,-0.003808,-10.0,0.0,0.0, 0.0, 0.0,2
20200706_154749_98546058,0.0,1.2e-05,0.000168,0.003641,-10.0,0.0,0.0, 0.0, 0.0,2
20200706_154749_98579390,-0.0,-8.3e-05,0.000348,0.015235,-10.0,1.1902034282684326,0.0, 0.0, 0.0,2
20200706_154749_98596056,-0.0,-0.000125,8.3e-05,0.018312,-10.0,4.7615766525268555,0.0, 0.0, 0.0,2
20200706_154749_98629388,-0.0,-0.000143,0.000262,0.018867,-11.0,10.31738817691803,0.0, 0.0, 0.0,2
20200706_154749_98662720,-0.0,-0.000223,-0.001492,0.020293,-11.0,12.69855797290802,0.0, 0.0, 0.0,2
20200706_154749_98696052,-0.0,-6.8e-05,4e-05,0.005722,-12.0,13.492026925086975,0.0, 0.0, 0.0,2
20200706_154749_98712718,0.0,0.000121,0.000775,-0.012017,-12.0,14.682230353355408,0.0, 0.0, 0.0,2
20200706_154749_98729384,0.0,0.0002,0.000731,-0.021118,-12.0,15.87243378162384,0.0, 0.0, 0.0,2
20200706_154749_98762716,0.0,0.000322,0.00083,-0.029719,-13.0,16.269931197166443,0.0, 0.0, 0.0,2
20200706_154749_98796048,0.0,0.000617,0.002526,-0.065422,-13.0,16.269931197166443,0.0, 0.0, 0.0,2
20200706_154749_98829380,0.0,0.000996,0.007238,-0.110189,-14.0,16.66666567325592,0.0, 0.0, 0.0,2
20200706_154749_98862712,0.0,0.001788,0.008302,-0.193691,-14.0,17.460134625434875,0.0, 0.0, 0.0,2
20200706_154749_98896044,0.0,0.002965,0.015502,-0.320152,-14.0,18.25360357761383,0.0, 0.0, 0.0,2
20200706_154749_98929376,0.0,0.004416,0.022093,-0.469157,-14.0,19.841307401657104,0.0, 0.0, 0.0,2
20200706_154749_98962708,0.0,0.00601,0.025714,-0.625398,-15.0,22.22171425819397,0.0, 0.0, 0.0,2
20200706_154749_98996040,1.0,0.007766,0.023227,-0.794506,-15.0,24.999618530273438,0.0, 0.0, 0.0,2
20200706_154749_99012706,1.0,0.009154,0.0196,-0.938584,-15.0,27.777522802352905,0.0, 0.0, 0.0,2
20200706_154749_99062704,1.0,0.009801,0.013593,-1.000779,-15.0,28.57099175453186,0.0, 0.0, 0.0,2
20200706_154749_99079370,1.0,0.011735,-0.004236,-1.16786,-15.0,30.15792965888977,0.0, 0.0, 0.0,2
20200706_154750_99112702,1.0,0.012336,-0.009722,-1.218717,-15.0,30.15792965888977,0.0, 0.0, 0.0,2
20200706_154750_99146034,1.0,0.013672,-0.010664,-1.316675,-16.0,30.15792965888977,0.0, 0.0, 0.0,2
20200706_154750_99179366,1.0,0.015409,-0.007904,-1.410327,-16.0,30.15792965888977,0.0, 0.0, 0.0,2
