Timestamp,Odometer,Gear(dashboard),RPM,            Fuel_level,Avg_fuel_consumption,Velocity,            Acceleration_x,Acceleration_y,Acceleration_z,            Coordinate(location)_x,Coordinate(location)_y,Coordinate(location)_z,            Rotation_angle_x,Rotation_angle_y,Rotation_angle_z,            Steering_wheel_x,Accelerator,Brake,Clutch,Winker(left),Winker(right)
20200610_152032_339736410, 24848.05078125, 0.0, 592.1236572265625, 106.44606018066406, 0.43298962712287903, 0.0034198889043182135, -6.098634912632406e-07, -3.584196383599192e-05, -1.348010846413672e-05, -26406.509765625, 8.502913475036621, -2140.003173828125, 0.0005436919163912535, -0.009991048835217953, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152032_339769742, 24848.05078125, 0.0, 592.1236572265625, 106.44605255126953, 0.43298962712287903, 0.003324624616652727, -6.725167622789741e-07, -5.974887244519778e-06, -1.171389885712415e-05, -26406.509765625, 8.502913475036621, -2140.003173828125, 0.000543684174772352, -0.009991086088120937, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152032_339803074, 24848.05078125, 0.0, 592.1236572265625, 106.4460220336914, 0.43298962712287903, 0.0033279142808169127, -6.209247658262029e-07, -6.156027666293085e-05, -1.533816976007074e-05, -26406.509765625, 8.502913475036621, -2140.003173828125, 0.0005436733481474221, -0.009991086088120937, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152032_339819740, 24848.05078125, 0.0, 592.1236572265625, 106.44599151611328, 0.43298962712287903, 0.0033262488432228565, -4.806279321201146e-07, -1.2242613593116403e-05, -1.2117641745135188e-05, -26406.509765625, 8.502913475036621, -2140.00341796875, 0.0005436625215224922, -0.009991124272346497, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152032_339853072, 24848.05078125, 0.0, 592.1236572265625, 106.44598388671875, 0.43298962712287903, 0.0034249466843903065, -5.029141902923584e-07, 2.6474070182302967e-05, -9.78632306214422e-06, -26406.509765625, 8.502912521362305, -2140.00341796875, 0.0005436594365164638, -0.009991086088120937, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152032_339886404, 24848.05078125, 0.0, 592.1236572265625, 106.44595336914062, 0.43298962712287903, 0.003421924775466323, -5.194287950871512e-07, 0.0001234511728398502, -3.196837496943772e-06, -26406.509765625, 8.502913475036621, -2140.00341796875, 0.0005436486680991948, -0.009991124272346497, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152032_339903070, 24848.05078125, 0.0, 592.1236572265625, 106.4459228515625, 0.43298962712287903, 0.003425019793212414, -4.7510911826975644e-07, 3.4218701330246404e-05, -9.036099072545767e-06, -26406.509765625, 8.502913475036621, -2140.00341796875, 0.000543637783266604, -0.009991124272346497, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152033_339919736, 24848.05078125, 0.0, 592.1236572265625, 106.44590759277344, 0.43298962712287903, 0.003329758532345295, -4.369558155303821e-07, 3.633881715359166e-05, -9.040988516062498e-06, -26406.509765625, 8.502913475036621, -2140.00341796875, 0.0005436300416477025, -0.009991124272346497, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152034_340019732, 24848.05078125, 0.0, 592.1236572265625, 106.4458999633789, 0.43298962712287903, 0.0034290298353880644, -3.922195901395753e-07, 2.60139349848032e-05, -9.548806701786816e-06, -26406.509765625, 8.502913475036621, -2140.00341796875, 0.000543626956641674, -0.009991124272346497, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152034_340069730, 24848.05078125, 0.0, 592.1236572265625, 106.44581604003906, 0.43298962712287903, 0.0034302689600735903, -6.128866516519338e-07, -4.902371802018024e-05, -1.43919896800071e-05, -26406.509765625, 8.502913475036621, -2140.00341796875, 0.0005435944185592234, -0.009991124272346497, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152034_340103062, 24848.05078125, 0.0, 592.1236572265625, 106.44577026367188, 0.43298962712287903, 0.0033394736237823963, -4.003832145826891e-07, -8.534441440133378e-05, -1.6676494851708412e-05, -26406.509765625, 8.502913475036621, -2140.00341796875, 0.0005435757921077311, -0.009991124272346497, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152034_340136394, 24848.05078125, 0.0, 592.1236572265625, 106.44574737548828, 0.43298962712287903, 0.0033384093549102545, -4.1331986722070724e-07, 6.039656727807596e-05, -7.526236004196107e-06, -26406.509765625, 8.502913475036621, -2140.003662109375, 0.0005435649654828012, -0.009991124272346497, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152034_340153060, 24848.05078125, 0.0, 592.1236572265625, 106.44571685791016, 0.43298962712287903, 0.0033373890910297632, -4.779085429618135e-07, 7.24725759937428e-05, -6.8801018642261624e-06, -26406.509765625, 8.502913475036621, -2140.003662109375, 0.0005435540806502104, -0.009991124272346497, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
