,Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label
20200610_152035_341069690,24848.05078125,106.44496154785156,-4.1508974391035736e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341103022,24848.05078125,106.44493103027344,-3.842033038381487e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341119688,24848.05078125,106.44490814208984,-4.2500687413848937e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341169686,24848.05078125,106.44489288330078,-4.873818397754802e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341203018,24848.05078125,106.44485473632812,-5.697347660316153e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341236350,24848.05078125,106.44482421875,-4.211269697407261e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341253016,24848.05078125,106.44479370117188,-4.4541229726746684e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341303014,24848.05078125,106.4447784423828,-4.913272277917713e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341319680,24848.05078125,106.44474029541016,-4.973480827175081e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341369678,24848.05078125,106.4447250366211,-5.109013727633283e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341386344,24848.05078125,106.44468688964844,-6.453865353250875e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341419676,24848.05078125,106.44467163085938,-5.594938556896523e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341453008,24848.05078125,106.44464111328124,-4.950525180902332e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341469674,24848.05078125,106.44461822509766,-4.774847184307873e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341503006,24848.05078125,106.4446029663086,-4.975954652763903e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341536338,24848.05078125,106.44457244873048,-5.473684723256156e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341553004,24848.05078125,106.44454956054688,-4.612029442796484e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341603002,24848.05078125,106.4445343017578,-4.913381417281926e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341619668,24848.05078125,106.44448852539062,-9.658269846113399e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341669666,24848.05078125,106.4444808959961,-7.008275133557618e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341702998,24848.05078125,106.4444351196289,-7.536582415923476e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341736330,24848.05078125,106.44440460205078,-7.463422662112863e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341769662,24848.05078125,106.4443817138672,-3.957520675612613e-07,0.0, 0.00.0,0.0,0.0, ,0
