,Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Unnamed: 22,Label
50,20190517_141752_682167608,592.1233521,-0.000185992,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
51,20190517_141752_682200940,592.1233521,-0.000185149,0.0005188069999999999,0.011902033999999999, 0.00.0,0,0, ,0
52,20190517_141752_682217606,592.1233521,-0.00018628900000000002,0.0005188069999999999,0.051583110999999994, 0.00.0,0,0, ,0
53,20190517_141752_682250938,592.1233521,-0.00018497700000000001,0.0005188069999999999,0.063492805, 0.00.0,0,0, ,0
54,20190517_141752_682284270,613.5039673,-0.000184153,0.0005188069999999999,0.138887614, 0.00.0,0,0, ,0
55,20190517_141752_682317602,592.8554077,0.0032385999999999995,0.0005188069999999999,0.20238041899999998, 0.00.0,0,0, ,0
56,20190517_141752_682350934,587.2141113,0.012947601999999999,0.0005188069999999999,0.25396353, 0.00.0,0,0, ,0
57,20190517_141752_682384266,601.8674316,0.03489121,0.0005188069999999999,0.27380788300000003, 0.00.0,0,0, ,0
58,20190517_141752_682400932,613.8108521,0.061958930999999995,0.0005188069999999999,0.27380788300000003, 0.00.0,0,0, ,0
59,20190517_141753_682434264,643.3041992000001,0.08729703,0.0005188069999999999,0.27380788300000003, 0.00.0,0,0, ,0
60,20190517_141753_682484262,657.8065186000001,0.163203791,0.0005188069999999999,0.27380788300000003, 0.00.0,0,0, ,0
61,20190517_141753_682500928,619.0428467,0.31988263100000003,0.0005188069999999999,0.27380788300000003, 0.00.0,0,0, ,0
62,20190517_141753_682534260,599.4310303,0.38096585899999996,0.0005188069999999999,0.27380788300000003, 0.00.0,0,0, ,0
63,20190517_141753_682567592,555.6922607000001,0.5141579510000001,0.0005188069999999999,0.277775228, 0.00.0,0,0, ,0
64,20190517_141753_682600924,548.02771,0.660738707,0.0005188069999999999,0.289677262, 0.00.0,0,0, ,0
65,20190517_141753_682634256,531.0462646000001,0.819128871,0.0005188069999999999,0.31348896, 0.00.0,0,0, ,0
66,20190517_141753_682667588,551.8139037999999,0.988276541,0.0005188069999999999,0.317456305, 0.00.0,0,0, ,0
67,20190517_141753_682700920,541.7325438999999,1.167658925,0.000396735,0.329358339, 0.00.0,0,0, ,0
68,20190517_141753_682717586,544.7977905,1.3583040240000002,0.000183108,0.36507210100000004, 0.00.0,0,0, ,0
69,20190517_141753_682767584,560.6237792999999,1.457965255,0.000122072,0.396818489, 0.00.0,0,0, ,0
70,20190517_141753_682784250,535.9244385,1.7766820190000001,-0.000289921,0.5117189289999999, 0.00.0,0,0, ,0
71,20190517_141753_682817582,573.272583,1.88966918,-0.000320439,0.531250477, 0.00.0,0,0, ,0
72,20190517_141753_682850914,579.7531738,2.125790119,-0.000320439,0.546875715, 0.00.0,0,0, ,0
73,20190517_141753_682884246,584.0454712000001,2.375294447,-0.000320439,0.589845121, 0.00.0,0,0, ,0
74,20190517_141753_682917578,596.2284546,2.6385424140000002,-0.000320439,0.6835965509999999, 0.00.0,0,0, ,0
75,20190517_141753_682950910,602.4044188999999,2.91647768,-0.000320439,0.742191195, 0.00.0,0,0, ,0
76,20190517_141753_682967576,611.5735473999999,3.2094893460000002,-0.000320439,0.761715114, 0.00.0,0,0, ,0
77,20190517_141753_683000908,533.5162353999999,3.361318111,-0.000320439,0.769527733, 0.00.0,0,0, ,0
78,20190517_141753_683034240,538.8130493,3.6764969830000003,-0.000320439,0.7773403529999999, 0.00.0,0,0, ,0
79,20190517_141753_683067572,542.3795776000001,4.005899428999999,-4.5799999999999995e-05,0.785152972, 0.00.0,0,0, ,0
80,20190517_141753_683100904,549.4519042999999,4.349175453,0.0007629510000000001,0.80077821, 0.00.0,0,0, ,0
81,20190517_141753_683134236,556.4962768999999,4.70627737,0.001953155,0.828122377, 0.00.0,0,0, ,0
82,20190517_141753_683167568,573.6478882,5.077406883,0.0036011290000000002,0.8671854729999999, 0.00.0,0,0, ,0
83,20190517_141753_683184234,596.1990967,5.4633126260000004,0.0059204999999999995,0.8867170209999999, 0.00.0,0,0, ,0
84,20190517_141753_683234232,640.7526245,5.662200928,0.0069581140000000005,0.89843595, 0.00.0,0,0, ,0
85,20190517_141753_683250898,639.4152832000001,6.280972004,0.009765774,0.9648432140000001, 0.00.0,0,0, ,0
86,20190517_141753_683284230,652.6533812999999,6.49554491,0.010559243000000001,0.988281071, 0.00.0,0,0, ,0
87,20190517_141753_683317562,666.7575684,6.937425137000001,0.012115663,1.0, 0.00.0,0,0, ,0
88,20190517_141753_683350894,684.1746826,7.396718502000001,0.012787061,1.0, 0.00.0,0,0, ,0
89,20190517_141753_683384226,704.7105102999999,7.873226643,0.012909133,1.0, 0.00.0,0,0, ,0
90,20190517_141753_683417558,728.4751587000001,8.366830826000001,0.012909133,1.0, 0.00.0,0,0, ,0
91,20190517_141754_683450890,755.6083984,8.877614975,0.012909133,1.0, 0.00.0,0,0, ,0
92,20190517_141754_683467556,788.9880981000001,9.405927658,0.012909133,1.0, 0.00.0,0,0, ,0
93,20190517_141754_683500888,808.9073486000001,9.676839828,0.012909133,1.0, 0.00.0,0,0, ,0
94,20190517_141754_683534220,850.5897217,10.23545265,0.012909133,1.0, 0.00.0,0,0, ,0
95,20190517_141754_683567552,893.8898926,10.81154537,0.013153277,1.0, 0.00.0,0,0, ,0
96,20190517_141754_683600884,939.0595093000001,11.40727615,0.01373312,1.0, 0.00.0,0,0, ,0
97,20190517_141754_683634216,986.3007202,12.02665806,0.014770733000000001,1.0, 0.00.0,0,0, ,0
98,20190517_141754_683650882,1036.031616,12.6723547,0.015747311,1.0, 0.00.0,0,0, ,0
99,20190517_141754_683700880,1062.2280269999999,13.00420284,0.016388188999999997,1.0, 0.00.0,0,0, ,0
100,20190517_141754_683717546,1143.329834,14.03167915,0.01794461,1.0, 0.00.0,0,0, ,0
101,20190517_141754_683750878,1171.1030269999999,14.3842783,0.018310826000000002,1.0, 0.00.0,0,0, ,0
102,20190517_141754_683784210,1228.2698970000001,15.10910702,0.018951705,1.0, 0.00.0,0,0, ,0
103,20190517_141754_683817542,1286.5780029999999,15.84947014,0.019928282,1.0, 0.00.0,0,0, ,0
104,20190517_141754_683850874,1345.3321529999998,16.59737778,0.021149004,1.0, 0.00.0,0,0, ,0
105,20190517_141754_683884206,1403.336548,17.35455704,0.02276646,1.0, 0.00.0,0,0, ,0
106,20190517_141754_683917538,1463.0155029999999,18.14613152,0.025543602000000002,1.0, 0.00.0,0,0, ,0
107,20190517_141754_683934204,1522.720337,18.90642357,0.028412299,1.0, 0.00.0,0,0, ,0
108,20190517_141754_683967536,1537.028687,19.29184914,0.030304417,1.0, 0.00.0,0,0, ,0
