Timestamp,Velocity,Accel_X,Rotate_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200715_161610_585026598,0,5.00E-06,-0.2523,2,0,0,0,0,7,0:00:00
20200715_161610_585059930,0,2.50E-05,-0.2527,2,0,0,0,0,7,0:00:00
20200715_161610_585093262,0,2.40E-05,-0.2527,2,0,0,0,0,7,0:00:00
20200715_161610_585109928,0,3.20E-05,-0.2523,2,0,0,0,0,7,0:00:00
20200715_161610_585126594,0,1.80E-05,-0.2527,2,0,0,0,0,7,0:00:00
20200715_161610_585176592,0,2.90E-05,-0.2527,2,0,0,0,0,7,0:00:00
20200715_161610_585193258,0,3.00E-05,-0.2527,2,0,0,0,0,7,0:00:00
20200715_161610_585243256,0,2.20E-05,-0.2523,2,0,0,0,0,7,0:00:00
20200715_161610_585259922,0,3.20E-05,-0.2527,2,0,0,0,0,7,0:00:00
20200715_161610_585309920,0,2.30E-05,-0.2531,2,0,0,0,0,7,0:00:00
20200715_161610_585326586,0,1.70E-05,-0.2531,2,0,0,0,0,7,0:00:00
20200715_161610_585359918,0,2.90E-05,-0.2531,2,0,0,0,0,7,0:00:00
20200715_161610_585376584,0,1.50E-05,-0.2527,2,0,0,0,0,7,0:00:00
20200715_161610_585409916,0,3.00E-05,-0.2531,2,0,0,0,0,7,0:00:00
20200715_161610_585443248,0,7.00E-06,-0.2531,2,0,0,0,0,7,0:00:00
20200715_161610_585459914,0,3.20E-05,-0.2531,2,0,0,0,0,7,0:00:00
20200715_161610_585493246,0,2.30E-05,-0.2535,2,0,0,0,0,7,0:00:00
20200715_161610_585526578,0,3.00E-05,-0.2531,2,0,0,0,0,7,0:00:00
20200715_161610_585559910,0,2.90E-05,-0.2535,2,0,0,0,0,7,0:00:00
20200715_161610_585576576,0,1.50E-05,-0.2531,2,0,0,0,0,7,0:00:00
20200715_161610_585593242,0,3.00E-05,-0.2531,2,0,0,0,0,7,0:00:00
20200715_161610_585626574,0,2.30E-05,-0.2527,2,0,0,0,0,7,0:00:00
20200715_161610_585659906,0,2.70E-05,-0.2539,2,0,0,0,0,7,0:00:00
20200715_161611_585676572,0,2.30E-05,-0.2539,2,0,0,0,0,7,0:00:01
20200715_161611_585709904,0,3.50E-05,-0.2539,2,0,0,0,0,7,0:00:01
20200715_161611_585743236,0,5.30E-05,-0.2539,3,0,0,0,0,7,0:00:01
20200715_161611_585793234,0,0.000484,-0.2539,4,0,0,0,0,7,0:00:01
20200715_161611_585809900,0,0.00054,-0.2546,3,0,0,0,0,7,0:00:01
20200715_161611_585843232,0,9.70E-05,-0.2531,1,0,0,0,0,7,0:00:01
20200715_161611_585876564,0,-0.001051,-0.2523,0,0,0,0,0,7,0:00:01
20200715_161611_585909896,0,-0.001638,-0.2527,0,0,0,0,0,7,0:00:01
20200715_161611_585943228,0,-0.001623,-0.2592,0,0,0,0,0,7,0:00:01
20200715_161611_585976560,0,-0.001593,-0.2637,0,0,0,0,0,7,0:00:01
20200715_161611_586009892,0,-0.001101,-0.2633,0,5,0,0,0,7,0:00:01
20200715_161611_586026558,0,-0.000121,-0.2607,0,12,0,0,0,7,0:00:01
20200715_161611_586059890,0,0.000343,-0.2611,0,16,0,0,0,7,0:00:01
20200715_161611_586076556,0,0.000352,-0.2603,0,20,0,0,0,7,0:00:01
20200715_161611_586126554,0,9.70E-05,-0.2607,0,21,0,0,0,7,0:00:01
20200715_161611_586143220,0,-0.000462,-0.2637,-1,24,0,0,0,7,0:00:01
20200715_161611_586176552,0,-0.000622,-0.2633,-1,25,0,0,0,7,0:00:01
20200715_161611_586193218,0,-0.00079,-0.2622,-2,29,0,0,0,7,0:00:01
20200715_161611_586226550,0,-0.0009,-0.2618,-2,30,0,0,0,7,0:00:01
20200715_161611_586259882,0,-0.001235,-0.2611,-2,33,0,0,0,7,0:00:01
20200715_161611_586293214,0,-0.00161,-0.2599,-3,35,0,0,0,7,0:00:01
20200715_161611_586326546,1,-0.001491,-0.2588,-3,36,0,0,0,0,0:00:01
20200715_161611_586359878,1,-0.001099,-0.2576,-3,36,0,0,0,0,0:00:01
20200715_161611_586376544,1,-0.001044,-0.2565,-3,37,0,0,0,0,0:00:01
20200715_161611_586409876,1,-0.001137,-0.2561,-3,38,0,0,0,0,0:00:01
20200715_161611_586459874,1,-0.00114,-0.2558,-3,39,0,0,0,0,0:00:01
20200715_161611_586476540,1,-0.001324,-0.2558,-3,43,0,0,0,0,0:00:01
20200715_161611_586509872,1,-0.001485,-0.2554,-3,45,0,0,0,0,0:00:01
20200715_161611_586543204,1,-0.001815,-0.2554,-3,49,0,0,0,0,0:00:01
20200715_161611_586576536,1,-0.002075,-0.255,-3,51,0,0,0,0,0:00:01
20200715_161611_586609868,2,-0.002301,-0.2546,-3,52,0,0,0,0,0:00:01
20200715_161611_586643200,2,-0.002537,-0.2539,-3,54,0,0,0,0,0:00:01
20200715_161612_586659866,2,-0.002784,-0.2531,-3,54,0,0,0,0,0:00:02
20200715_161612_586693198,2,-0.002908,-0.2531,-3,55,0,0,0,0,0:00:02
20200715_161612_586709864,2,-0.003147,-0.2523,-3,55,0,0,0,0,0:00:02
20200715_161612_586743196,2,-0.003233,-0.252,-3,55,0,0,0,0,0:00:02
20200715_161612_586793194,3,-0.003402,-0.2516,-3,55,0,0,0,0,0:00:02
20200715_161612_586826526,3,-0.00336,-0.2508,-3,56,0,0,0,0,0:00:02
20200715_161612_586843192,3,-0.003557,-0.2501,-3,56,0,0,0,0,0:00:02
20200715_161612_586876524,3,-0.003639,-0.2497,-3,56,0,0,0,0,0:00:02
20200715_161612_586893190,4,-0.003552,-0.2489,-3,56,0,0,0,0,0:00:02
20200715_161612_586926522,4,-0.0036,-0.2485,-3,56,0,0,0,0,0:00:02
20200715_161612_586976520,4,-0.003953,-0.2489,-3,56,0,0,0,0,0:00:02
20200715_161612_586993186,5,-0.004367,-0.2504,-3,56,0,0,0,0,0:00:02
20200715_161612_587026518,5,-0.004407,-0.2497,-3,56,0,0,0,0,0:00:02
20200715_161612_587059850,5,-0.004659,-0.2466,-3,56,0,0,0,0,0:00:02
20200715_161612_587093182,6,-0.004883,-0.2451,-3,56,0,0,0,0,0:00:02
20200715_161612_587109848,6,-0.004946,-0.2444,-3,56,0,0,0,0,0:00:02
20200715_161612_587159846,6,-0.004993,-0.2432,-3,56,0,0,0,0,0:00:02
20200715_161612_587176512,7,-0.005161,-0.2432,-3,56,0,0,0,0,0:00:02
20200715_161612_587209844,7,-0.005209,-0.2421,-3,56,0,0,0,0,0:00:02
20200715_161612_587243176,7,-0.006293,-0.2391,-3,56,0,0,0,0,0:00:02
20200715_161612_587276508,8,-0.006731,-0.2391,-3,56,0,0,0,0,0:00:02
20200715_161612_587309840,8,-0.006681,-0.2379,-3,56,0,0,0,0,0:00:02
20200715_161612_587343172,9,-0.006706,-0.2368,-3,56,0,0,0,0,0:00:02
20200715_161612_587376504,9,-0.006932,-0.2117,-3,56,0,0,0,0,0:00:02
20200715_161612_587393170,9,-0.007031,-0.1195,-3,56,0,0,0,0,0:00:02
20200715_161612_587443168,10,-0.006942,-0.088,-3,56,0,0,0,0,0:00:02
20200715_161612_587493166,10,-0.006542,-0.0527,-3,56,0,0,0,0,0:00:02
20200715_161612_587509832,11,-0.006114,-0.082,-3,56,0,0,0,0,0:00:02
20200715_161612_587543164,11,-0.00604,-0.0952,-3,56,0,0,0,0,0:00:02
20200715_161612_587576496,12,-0.005408,-0.1165,-3,56,0,0,0,0,0:00:02
20200715_161612_587609828,12,-0.005763,-0.126,-3,56,0,0,0,0,0:00:02
20200715_161613_587626494,13,-0.006643,-0.1245,-3,56,0,0,0,0,0:00:03
20200715_161613_587659826,13,-0.007058,-0.1207,-3,56,0,0,0,0,0:00:03
20200715_161613_587693158,13,-0.007585,-0.1104,-3,56,0,0,0,0,0:00:03
20200715_161613_587726490,14,-0.007388,-0.1009,-3,56,0,0,0,0,0:00:03
20200715_161613_587743156,14,0.002253,-0.1062,-2,56,0,0,0,0,0:00:03
20200715_161613_587793154,15,0.009467,-0.1157,-2,56,0,0,0,0,0:00:03
20200715_161613_587809820,15,0.017048,-0.1305,-1,56,0,0,0,0,0:00:03
20200715_161613_587843152,16,0.017508,-0.1294,-1,56,0,0,0,0,0:00:03
20200715_161613_587876484,16,0.016684,-0.1199,-1,56,0,0,0,0,0:00:03
20200715_161613_587909816,17,0.013113,-0.1062,-1,56,0,0,0,0,0:00:03
20200715_161613_587943148,17,-7.20E-05,-0.0964,-1,56,0,0,0,0,0:00:03
20200715_161613_587976480,18,-0.005886,-0.0922,-1,56,0,0,0,0,0:00:03
20200715_161613_588009812,18,-0.007221,-0.0911,-1,56,0,0,0,0,0:00:03
20200715_161613_588043144,19,-0.006793,-0.0907,-2,56,0,0,0,0,0:00:03
20200715_161613_588076476,19,-0.006013,-0.0914,-2,56,0,0,0,0,0:00:03
20200715_161613_588093142,20,-0.005851,-0.0729,-2,56,0,0,0,0,0:00:03
20200715_161613_588126474,20,-0.006158,-0.0319,-2,56,0,0,0,0,0:00:03
20200715_161613_588143140,21,-0.006526,0.0167,-2,56,0,0,0,0,0:00:03
20200715_161613_588176472,21,-0.0057,0.0326,-2,56,0,0,0,0,0:00:03
20200715_161613_588209804,21,-0.004289,0.0535,-2,56,0,0,0,0,0:00:03
20200715_161613_588243136,22,-0.003627,0.0581,-2,56,0,0,0,0,0:00:03
20200715_161613_588276468,22,-0.003504,0.0474,-2,56,0,0,0,0,0:00:03
20200715_161613_588309800,23,-0.002958,0.0379,-2,56,0,0,0,0,0:00:03
20200715_161613_588326466,23,-0.002651,0.0338,-2,56,0,0,0,0,0:00:03
20200715_161613_588359798,23,-0.002599,0.0315,-1,56,0,0,0,0,0:00:03
20200715_161613_588393130,24,2.60E-05,0.0258,-1,56,0,0,0,0,0:00:03
20200715_161613_588426462,24,0.006385,0.0159,-1,56,0,0,0,0,0:00:03
