Timestamp,Velocity,Accel_X,Rotate_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_140233_1445603072,77,-0.147202,1.1699,6,100,0,0,0,2,0:00:03
20200722_140233_1445636404,77,-0.192968,0.8272,7,100,0,0,0,2,0:00:03
20200722_140233_1445669736,77,-0.162628,0.8344,7,100,0,0,0,2,0:00:03
20200722_140233_1445686402,77,-0.040759,1.0735,7,100,0,0,0,2,0:00:03
20200722_140233_1445703068,77,0.03535,1.2378,7,100,0,0,0,2,0:00:03
20200722_140233_1445753066,77,0.076545,1.4089,7,100,0,0,0,2,0:00:03
20200722_140233_1445769732,78,0.125693,1.8294,7,100,0,0,0,2,0:00:03
20200722_140233_1445803064,78,0.120684,1.895,7,100,0,0,0,2,0:00:03
20200722_140233_1445819730,78,0.046873,1.8119,7,100,0,0,0,2,0:00:03
20200722_140233_1445869728,78,0.019285,1.7227,7,100,0,0,0,2,0:00:03
20200722_140233_1445903060,79,-0.01534,1.536,7,100,0,0,0,2,0:00:03
20200722_140233_1445919726,79,0.015818,1.5766,8,100,0,0,0,2,0:00:03
20200722_140233_1445953058,79,0.036713,1.6252,8,100,0,0,0,2,0:00:03
20200722_140233_1445986390,79,0.098751,1.7755,8,100,0,0,0,2,0:00:03
20200722_140233_1446019722,80,0.155642,1.9496,9,100,0,0,0,2,0:00:03
20200722_140233_1446053054,80,0.161022,2.0874,9,100,0,0,0,2,0:00:03
20200722_140233_1446069720,80,0.139045,2.1712,9,100,0,0,0,2,0:00:03
20200722_140233_1446086386,80,0.118742,2.1803,9,100,0,0,0,2,0:00:03
20200722_140233_1446119718,80,0.115111,2.1883,9,100,0,0,0,2,0:00:03
20200722_140234_1446153050,81,0.08058,2.2012,9,100,0,0,0,2,0:00:04
20200722_140234_1446186382,81,0.065573,2.2035,9,100,0,0,0,2,0:00:04
20200722_140234_1446203048,81,0.054392,2.2111,9,99,0,0,0,2,0:00:04
