Timestamp,Odometer,Gear(dashboard),RPM,Fuel_level,Avg_fuel_consumption,Velocity,Acceleration_x,Acceleration_y,Acceleration_z,Coordinate(location)_x,Coordinate(location)_y,Coordinate(location)_z,Rotation_angle_x,Rotation_angle_y,Rotation_angle_z,Steering_wheel_x,Accelerator,Brake,Clutch,Winker(left),Winker(right),
20200518_160130_2765922692,132901.5469,0,1322.871216,277.1731567,0.314577132,117.0933228,0.007629472,0.000870289,-0.361384332,-28566.15625,10.3348074,-1853.804199,0.587418079,0.001162308,-0.000294116,0.010742351,0.50390631, 0.00.0,0,0,0, 
20200518_160130_2765956024,132901.5625,0,1323.350708,277.1589966,0.314577162,117.1369019,0.042882975,-0.022630377,-0.361292779,-28565.58594,10.35461617,-1852.881958,0.587803721,0.001147737,-0.00027594,0.010559243,0.50390631, 0.00.0,0,0,0, 
20200518_160130_2765989356,132901.5781,0,1323.838135,277.1448364,0.314577192,117.1811066,0.049981456,-0.019643169,-0.362780571,-28565.01367,10.37432671,-1851.960693,0.588183701,0.001131838,-0.00026429,0.010376135,0.50390631, 0.00.0,0,0,0, 
20200518_160130_2766022688,132901.6094,0,1324.322144,277.1306763,0.314577252,117.224884,0.056890927,-0.012623367,-0.364291251,-28564.4375,10.39391994,-1851.040527,0.588553309,0.001115408,-0.000253552,0.010162508,0.50390631, 0.00.0,0,0,0, 
20200518_160130_2766056020,132901.625,0,1324.812866,277.1165161,0.314577252,117.2691498,0.056646835,-0.000778079,-0.365595937,-28563.86133,10.41341305,-1850.121094,0.588908076,0.001094803,-0.000243724,0.009582666,0.50390631, 0.00.0,0,0,0, 
20200518_160130_2766089352,132901.6406,0,1325.308838,277.1023254,0.314577311,117.3129425,0.067268223,0.005097446,-0.3660537,-28563.28125,10.43276691,-1849.202637,0.589244902,0.001067521,-0.000230443,0.008758679,0.50390631, 0.00.0,0,0,0, 
20200518_160130_2766122684,132901.6719,0,1325.793213,277.0881348,0.314577341,117.3567657,0.115825787,0.021303287,-0.366465688,-28562.70117,10.45193958,-1848.284668,0.589551687,0.001029917,-0.0002076,0.008026246,0.50390631, 0.00.0,0,0,0, 
20200518_160130_2766139350,132901.6875,0,1326.278076,277.0739441,0.314577401,117.4004745,0.185711041,0.019154213,-0.365641683,-28562.11719,10.47084427,-1847.367432,0.58981508,0.000981688,-0.000170413,0.007110704,0.50390631, 0.00.0,0,0,0, 
20200518_160130_2766189348,132901.7031,0,1326.512817,277.0668335,0.31457743,117.4215546,0.200674072,0.019823004,-0.364359885,-28561.82617,10.48015881,-1846.908936,0.589931011,0.000954177,-0.000148405,0.006744488,0.50390631, 0.00.0,0,0,0, 
20200518_160130_2766206014,132901.7344,0,1327.223511,277.0455322,0.31457749,117.4853592,0.250957131,-0.022493398,-0.360377192,-28560.94922,10.50732803,-1845.533813,0.590233266,0.000865157,-8.52E-05,0.005737392,0.50390631, 0.00.0,0,0,0, 
