Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1
20200708_134756_650473980, 592.1236572265625, 0.002324857050552964, 0.0020447089336812496, 0.0, 0.0, 0.0, 0.0,0.0
20200708_134756_650507312, 592.1236572265625, 0.0023242218885570765, 0.0017090104520320892, 0.0, 0.0, 0.0, 0.0,0.0
20200708_134756_650523978, 592.1236572265625, 0.0023237778805196285, 0.0014343480579555035, 0.0, 0.0, 0.0, 0.0,0.0
20200708_134756_650557310, 592.1236572265625, 0.003632282605394721, 0.0014343480579555035, 0.0, 0.0, 0.0, 0.0,0.0
20200708_134756_650573976, 592.1236572265625, 0.00363080482929945, 0.0014343480579555035, 0.0, 0.0, 0.0, 0.0,0.0
20200708_134756_650623974, 592.1236572265625, 0.0023209841456264257, 0.0014343480579555035, 0.0, 0.0, 0.0, 0.0,0.0
20200708_134756_650640640, 592.1236572265625, 0.0036299230996519327, 0.0014343480579555035, 0.0, 0.0, 0.0, 0.0,0.0
20200708_134756_650673972, 592.1236572265625, 0.0023208402562886477, 0.0017700465396046638, 0.0, 0.0, 0.0, 0.0,0.0
20200708_134756_650707304, 592.1236572265625, 0.0023166327737271786, 0.001892118714749813, 0.0, 0.0, 0.0, 0.0,0.0
20200708_134756_650723970, 592.1236572265625, 0.002316115191206336, 0.001892118714749813, 0.0, 0.0, 0.0, 0.0,0.0
20200708_134756_650773968, 592.1236572265625, 0.003625564044341445, 0.001892118714749813, 0.0, 0.0, 0.0, 0.0,0.0
20200708_134757_650790634, 613.49658203125, 0.002319721970707178, 0.001892118714749813, 0.2738078832626343, 0.0, 0.0, 0.0,0.0
20200708_134757_650807300, 609.8221435546875, 0.005247380118817091, 0.001892118714749813, 0.3452353775501251, 0.0, 0.0, 0.0,0.0
20200708_134757_650840632, 592.86083984375, 0.006012354977428913, 0.0015564202331006527, 0.496025025844574, 0.0, 0.0, 0.0,0.0
20200708_134757_650857298, 587.1754150390625, 0.015220075845718384, -0.00047302967868745327, 0.7929655909538269, 0.0, 0.0, 0.0,0.0
20200708_134757_650890630, 619.185302734375, 0.01944662630558014, -0.0007782101165503263, 0.8320286870002747, 0.0, 0.0, 0.0,0.0
20200708_134757_650923962, 567.2654418945312, 0.0504663921892643, -0.004013122990727425, 0.929686427116394, 0.0, 0.0, 0.0,0.0
20200708_134757_650973960, 690.9925537109375, 0.08768195658922195, -0.004318303428590298, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651007292, 831.0910034179688, 0.26623427867889404, 0.0015564202331006527, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651040624, 787.9761352539062, 0.45897477865219116, 0.001892118714749813, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651073956, 673.2341918945312, 0.6923906803131104, 0.001892118714749813, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651107288, 545.603271484375, 0.9518033862113953, 0.0014343480579555035, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651140620, 470.0398864746094, 1.2257665395736694, -0.001541161211207509, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651173952, 556.9541015625, 1.5158473253250122, -0.0014496070798486471, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651207284, 501.96954345703125, 1.822123646736145, -0.0010528725106269121, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651223950, 528.9329223632812, 2.1486594676971436, -0.0010528725106269121, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651273948, 616.7498168945312, 2.3204808235168457, -0.0007782101165503263, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651290614, 532.1362915039062, 2.8607327938079834, 0.001892118714749813, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651340612, 629.1913452148438, 3.0504627227783203, 0.0024109254591166973, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651373944, 538.7040405273438, 3.6412575244903564, 0.005157549399882555, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651390610, 538.1407470703125, 4.05595588684082, 0.007660028990358114, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651423942, 650.7774047851562, 4.270028114318848, 0.008545052260160446, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651457274, 662.3382568359375, 4.706441402435303, 0.0117799649015069, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651473940, 660.8500366210938, 5.157466888427734, 0.013397421687841415, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651507272, 588.127685546875, 5.38766622543335, 0.01440451666712761, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651540604, 616.5120849609375, 5.860355377197266, 0.014709697104990482, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651557270, 641.67626953125, 6.347165584564209, 0.014679178595542908, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651590602, 658.7238159179688, 6.595884799957275, 0.014679178595542908, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651623934, 673.9706420898438, 7.1032843589782715, 0.014831769280135632, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651657266, 694.4898071289062, 7.624685764312744, 0.016357671469449997, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134757_651690598, 718.9627685546875, 8.160308837890625, 0.01766994781792164, 1.0, 0.0, 0.0, 0.0,0.0
