Timestamp,Velocity,accel_X,accel_Y,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1
20200715_152011_1313864110,3.0,0.039797,-0.005716,-2.440641,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1313914108,3.0,0.040338,0.009689,-2.474194,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1313930774,4.0,0.040999,0.03017,-2.564642,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1313964106,4.0,0.041045,0.034477,-2.5927,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1313997438,4.0,0.041585,0.034303,-2.644531,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1314030770,4.0,0.041931,0.03583,-2.694284,-24.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1314064102,5.0,0.040601,0.033943,-2.740726,-24.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1314080768,5.0,0.04095,0.034019,-2.785296,-24.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1314114100,5.0,0.041888,0.033419,-2.806507,-24.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1314147432,6.0,0.042839,0.033475,-2.847663,-24.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1314180764,6.0,0.044437,0.033164,-2.886486,-24.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1314197430,6.0,0.049678,0.032625,-2.922996,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1314230762,6.0,0.05251,0.033089,-2.940598,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1314280760,7.0,0.056334,0.03313,-2.974327,-26.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1314314092,7.0,0.063698,0.034206,-3.021741,-26.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1314330758,8.0,0.062541,0.034671,-3.051295,-26.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1314364090,8.0,0.061015,0.034722,-3.065466,-26.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152012_1314380756,8.0,0.057604,0.03448,-3.092555,-26.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152012_1314414088,8.0,0.056137,0.033848,-3.105408,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152012_1314430754,9.0,0.046654,0.032815,-3.130395,-24.0,37.69817650318146,0.0, 0.0, 0.0,2
20200715_152012_1314464086,9.0,0.037575,0.031787,-3.142388,-24.0,37.69817650318146,0.0, 0.0, 0.0,2
20200715_152012_1314480752,9.0,0.021264,0.029982,-3.16542,-23.0,37.69817650318146,0.0, 0.0, 0.0,2
20200715_152012_1314530750,10.0,0.012626,0.029182,-3.176532,-22.0,37.69817650318146,0.0, 0.0, 0.0,2
20200715_152012_1314564082,10.0,0.002739,0.029315,-3.208821,-21.0,36.90394461154938,0.0, 0.0, 0.0,2
20200715_152012_1314597414,11.0,-0.002123,0.030992,-3.229307,-21.0,34.92027223110199,0.0, 0.0, 0.0,2
20200715_152012_1314630746,11.0,0.007155,0.031875,-3.247031,-21.0,34.52353775501251,0.0, 0.0, 0.0,2
20200715_152012_1314664078,11.0,0.025326,0.032527,-3.26215,-21.0,34.52353775501251,0.0, 0.0, 0.0,2
20200715_152012_1314680744,12.0,0.043887,0.032648,-3.275078,-21.0,34.52353775501251,0.0, 0.0, 0.0,2
20200715_152012_1314730742,12.0,0.0477,0.031041,-3.280418,-21.0,34.52353775501251,0.0, 0.0, 0.0,2
20200715_152012_1314764074,13.0,0.051619,0.02881,-3.295553,-21.0,34.52353775501251,0.0, 0.0, 0.0,2
20200715_152012_1314797406,13.0,0.044606,0.029411,-3.306354,-21.0,34.52353775501251,0.0, 0.0, 0.0,2
20200715_152012_1314830738,13.0,0.035193,0.030457,-3.317434,-21.0,34.52353775501251,0.0, 0.0, 0.0,2
20200715_152012_1314847404,14.0,0.026685,0.031742,-3.327931,-20.0,34.52353775501251,0.0, 0.0, 0.0,2
20200715_152012_1314897402,14.0,0.022254,0.032448,-3.3328,-20.0,34.126800298690796,0.0, 0.0, 0.0,2
20200715_152012_1314930734,15.0,0.011054,0.034983,-3.344443,-19.0,33.72930288314819,0.0, 0.0, 0.0,2
20200715_152012_1314964066,15.0,0.017646,0.034927,-3.347823,-19.0,33.332568407058716,0.0, 0.0, 0.0,2
20200715_152012_1314980732,15.0,0.018999,0.034237,-3.348128,-19.0,32.93583393096924,0.0, 0.0, 0.0,2
20200715_152012_1315030730,16.0,0.015729,0.033312,-3.347075,-18.0,32.93583393096924,0.0, 0.0, 0.0,2
20200715_152012_1315064062,16.0,0.020209,0.038448,-3.342404,-18.0,32.93583393096924,0.0, 0.0, 0.0,2
20200715_152012_1315097394,17.0,0.017845,0.03619,-3.334475,-18.0,32.93583393096924,0.0, 0.0, 0.0,2
20200715_152012_1315114060,17.0,0.009157,0.033186,-3.324535,-17.0,32.93583393096924,0.0, 0.0, 0.0,2
20200715_152012_1315147392,17.0,0.008516,0.03207,-3.318968,-17.0,32.93583393096924,0.0, 0.0, 0.0,2
20200715_152012_1315180724,18.0,0.009275,0.031932,-3.307174,-17.0,32.53909945487976,0.0, 0.0, 0.0,2
20200715_152012_1315214056,18.0,0.007656,0.020343,-3.29595,-17.0,32.53909945487976,0.0, 0.0, 0.0,2
20200715_152012_1315247388,18.0,0.00922,-0.004257,-3.277246,-16.0,31.745630502700806,0.0, 0.0, 0.0,2
20200715_152012_1315280720,19.0,-0.001074,-0.03828,-3.251453,-15.0,31.745630502700806,0.0, 0.0, 0.0,2
20200715_152012_1315314052,19.0,-0.020804,-0.068053,-3.223649,-15.0,31.348896026611328,0.0, 0.0, 0.0,2
20200715_152012_1315330718,20.0,-0.039582,-0.064302,-3.198854,-13.0,30.95216155052185,0.0, 0.0, 0.0,2
20200715_152013_1315364050,20.0,-0.046295,-0.052231,-3.175467,-13.0,30.95216155052185,0.0, 0.0, 0.0,2
20200715_152013_1315397382,20.0,-0.076136,-0.02283,-3.11169,-11.0,29.761195182800293,0.0, 0.0, 0.0,2
20200715_152013_1315430714,20.0,-0.109997,0.030734,-3.03385,-10.0,29.761195182800293,0.0, 0.0, 0.0,2
20200715_152013_1315464046,21.0,-0.099287,0.090732,-2.939624,-9.0,28.174257278442383,0.0, 0.0, 0.0,2
20200715_152013_1315480712,21.0,-0.116677,0.1305,-2.821405,-7.0,27.380788326263428,0.0, 0.0, 0.0,0
20200715_152013_1315514044,21.0,-0.125211,0.133927,-2.757113,-7.0,26.18982195854187,0.0, 0.0, 0.0,0
20200715_152013_1315530710,21.0,-0.156117,0.147118,-2.638539,-5.0,24.999618530273438,0.0, 0.0, 0.0,0
20200715_152013_1315580708,22.0,-0.161526,0.146316,-2.580412,-4.0,24.999618530273438,0.0, 0.0, 0.0,0
20200715_152013_1315614040,22.0,-0.14906,0.143165,-2.416222,-2.0,22.618448734283447,0.0, 0.0, 0.0,0
20200715_152013_1315630706,22.0,-0.155068,0.151169,-2.314397,-2.0,20.63477635383606,0.0, 0.0, 0.0,0
20200715_152013_1315680704,22.0,-0.147491,0.14931,-2.263546,-1.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1315697370,23.0,-0.08577,0.135524,-2.118984,-1.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1315747368,23.0,-0.060718,0.110361,-2.073418,-1.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1315780700,23.0,-0.030276,-0.038066,-1.934283,-2.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1315814032,23.0,0.013539,-0.10893,-1.852555,-2.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1315847364,24.0,0.046447,-0.14182,-1.780689,-3.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1315864030,24.0,0.052428,-0.154771,-1.712731,-3.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1315897362,24.0,0.047963,-0.135465,-1.68099,-3.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1315930694,24.0,0.037545,-0.069695,-1.621493,-3.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1315964026,24.0,0.016169,0.02344,-1.567008,-2.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1315997358,24.0,-0.027091,0.043836,-1.502815,-1.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1316030690,25.0,-0.062738,0.056229,-1.440048,-0.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1316064022,25.0,-0.088744,0.054304,-1.377701,1.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1316097354,25.0,-0.099927,0.046116,-1.316725,1.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1316130686,25.0,-0.11727,0.04043,-1.258094,2.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1316164018,25.0,-0.105787,0.024339,-1.201206,2.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1316197350,25.0,-0.082757,0.023441,-1.148564,3.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1316214016,25.0,-0.060911,0.014351,-1.097287,3.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1316247348,25.0,-0.065056,0.019612,-1.073797,3.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1316280680,25.0,-0.03813,0.019599,-1.027541,3.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1316297346,26.0,-0.026946,0.013635,-0.982338,3.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152013_1316330678,26.0,-0.031251,0.017272,-0.961205,4.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152014_1316364010,26.0,-0.044473,0.013799,-0.919001,4.0,20.238041877746582,0.0, 0.0, 0.0,0
20200715_152014_1316380676,26.0,-0.059465,0.019786,-0.888386,5.0,20.238041877746582,0.0, 0.0, 0.0,0
