2,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_112442_852382570,98.4705658,-0.007157,-0.059069,6,0,0,0,0,2,0:00:02
20200722_112442_852415902,98.47458649,0.000423,-0.050428,6,0,0,0,0,2,0:00:02
20200722_112442_852449234,98.47777557,0.003094,-0.042188,6,0,0,0,0,2,0:00:02
20200722_112442_852465900,98.48021698,0.003147,-0.034314,6,0,0,0,0,2,0:00:02
20200722_112442_852499232,98.48101807,0.003458,-0.030721,6,0,0,0,0,2,0:00:02
20200722_112442_852532564,98.48215485,0.007043,-0.023545,6,0,0,0,0,2,0:00:02
20200722_112442_852565896,98.48258972,0.005294,-0.016781,6,0,0,0,0,2,0:00:02
20200722_112442_852582562,98.48588562,-0.002185,-0.016289,6,0,0,0,0,2,0:00:02
20200722_112442_852615894,98.48518372,-0.005153,-0.012352,6,0,0,0,0,2,0:00:02
20200722_112442_852632560,98.4835434,-0.051903,-0.005543,5,0,0,0,0,2,0:00:02
20200722_112442_852682558,98.48260498,-0.077662,-0.002647,5,0,0,0,0,2,0:00:02
20200722_112442_852699224,98.47785187,-0.114854,0.007653,5,0,0,0,0,2,0:00:02
20200722_112442_852749222,98.47600555,-0.116836,0.010972,5,0,0,0,0,2,0:00:02
20200722_112442_852799220,98.46916962,-0.098806,0.026685,5,0,0,0,0,2,0:00:02
20200722_112443_852832552,98.46076965,-0.012434,0.03639,5,0,0,0,0,2,0:00:03
20200722_112443_852849218,98.45417023,0.012752,0.042353,5,0,0,0,0,2,0:00:03
20200722_112443_852899216,98.45065308,0.019071,0.045328,5,0,0,0,0,2,0:00:03
20200722_112443_852949214,98.43875885,0.041729,0.054656,5,0,0,0,0,2,0:00:03
20200722_112443_853015878,98.42506409,0.119762,0.064544,7,0,0,0,0,2,0:00:03
20200722_112443_853032544,98.40447998,0.195943,0.076949,7,0,0,0,0,2,0:00:03
20200722_112443_853065876,98.39930725,0.198845,0.079193,7,0,0,0,0,2,0:00:03
20200722_112443_853082542,98.38835144,0.171783,0.084011,7,0,0,0,0,2,0:00:03
20200722_112443_853115874,98.38717651,0.152954,0.079078,7,0,0,0,0,2,0:00:03
20200722_112443_853149206,98.37500763,0.043383,0.083427,7,0,0,0,0,2,0:00:03
20200722_112443_853165872,98.36180878,-0.021714,0.088589,7,0,0,0,0,2,0:00:03
20200722_112443_853215870,98.35493469,-0.030402,0.091496,7,0,0,0,0,2,0:00:03
20200722_112443_853232536,98.33380127,-0.027001,0.100067,7,0,0,0,0,2,0:00:03
20200722_112443_853282534,98.3263092,-0.020272,0.103409,7,0,0,0,0,2,0:00:03
