Timestamp,Velocity,accel_X,accel_Y,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1
20200717_170232_2978764178,13,-0.002948,0.024774,-1.947877,2,78.98471209,0,0,0,0
20200717_170232_2978780844,13,-0.00217,0.027496,-2.067774,2,79.76777401,0,0,0,0
20200717_170233_2978830842,13,-0.002102,0.029034,-2.136742,2,60.74703793,0,0,0,0
20200717_170233_2978847708,14,-0.002627,0.03779,-2.370872,2,67.96902418,0,0,0,0
20200717_170233_2978880840,14,-0.002932,0.040204,-2.474108,2,70.7034409,0,0,0,0
20200717_170233_2978914172,14,-0.003426,0.044703,-2.626272,2,77.34340429,0,0,0,0
20200717_170233_2978930838,17,-0.007798,0.046277,-2.806408,2,82.81223774,0,0,0,0
20200717_170233_2978964170,17,-0.006892,0.04732,-2.900049,2,83.2028687,0,0,0,0
20200717_170233_2979014168,17,-0.008307,0.039772,-3.09434,2,83.98413062,0,0,0,0
20200717_170233_2979030834,16,-0.008996,0.027199,-3.3994,2,83.98413062,0,0,0,0
20200717_170233_2979064166,16,-0.00883,0.019974,-3.702476,2,83.98413062,0,0,0,0
20200717_170233_2979097498,17,-0.008862,0.010269,-3.706971,2,83.98413062,0,0,0,0
20200717_170233_2979114164,17,-0.009727,0.003697,-3.904416,2,83.98413062,0,0,0,0
20200717_170233_2979147496,17,-0.00978,0.002211,-3.999703,2,83.98413062,0,0,0,0
20200717_170233_2979180828,18,-0.008472,0.002979,-4.182709,2,83.98413062,0,0,0,0
20200717_170233_2979197494,19,-0.008438,0.011374,-4.37784,2,83.98413062,0,0,0,0
20200717_170233_2979230826,19,-0.008747,0.016282,-4.437778,2,82.42160678,0,0,0,0
20200717_170233_2979280824,19,-0.00829,0.027926,-4.777104,2,69.14091706,0,0,0,0
20200717_170233_2979297490,20,-0.007636,0.047203,-4.631766,2,41.6662842,0,0,0,0
20200717_170233_2979330822,20,-0.00777,0.070079,-4.612974,2,32.93783393,0,0,0,0
