Timestamp,Velocity,Accel_X,Rotate_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_135233_900391548,0,-4.20E-05,0.0019,-10,0,0,0,0,7,0:00:00
20200722_135233_900474878,0,-0.000118,0.0008,-10,0,0,0,0,7,0:00:00
20200722_135233_900558208,0,7.10E-05,0.0004,-10,0,0,0,0,7,0:00:00
20200722_135233_900658204,0,5.50E-05,0.0011,-10,0,0,0,0,7,0:00:00
20200722_135233_900758200,0,-0.000143,0.0027,-10,0,0,0,0,7,0:00:00
20200722_135233_900841530,0,0.000133,-0.0015,-10,0,0,0,0,7,0:00:00
20200722_135233_900924860,0,3.80E-05,-0.0015,-10,0,0,0,0,7,0:00:00
20200722_135234_901008190,0,-2.40E-05,-0.0011,-10,8,0,0,0,1,0:00:01
20200722_135234_901108186,0,-1.40E-05,-0.0011,-10,20,0,0,0,1,0:00:01
20200722_135234_901208182,0,-6.80E-05,-0.0015,-10,36,0,0,0,1,0:00:01
20200722_135234_901291512,0,-0.001807,-0.0027,-10,40,0,0,0,1,0:00:01
20200722_135234_901374842,0,-0.004719,-0.003,-9,49,0,0,0,1,0:00:01
20200722_135234_901458172,1,-0.006021,-0.003,-8,51,0,0,0,1,0:00:01
20200722_135234_901558168,2,-0.004835,-0.0019,-6,52,0,0,0,0,0:00:01
20200722_135234_901658164,2,-0.00471,-0.0023,-5,52,0,0,0,0,0:00:01
20200722_135234_901758160,3,-0.00352,-0.0015,-4,52,0,0,0,0,0:00:01
20200722_135234_901841490,4,0.000138,0.0038,-3,52,0,0,0,0,0:00:01
20200722_135234_901941486,5,0.010718,0.0114,-1,52,0,0,0,0,0:00:01
20200722_135235_902024816,6,0.021217,0.0178,1,52,0,0,0,0,0:00:02
20200722_135235_902108146,7,0.021555,0.0186,2,52,0,0,0,0,0:00:02
20200722_135235_902208142,8,0.01203,0.0049,2,52,0,0,0,0,0:00:02
20200722_135235_902291472,9,0.020545,0.03,4,52,0,0,0,0,0:00:02
20200722_135235_902408134,10,0.058328,0.0979,7,52,0,0,0,0,0:00:02
20200722_135235_902474798,11,0.071713,0.1009,9,52,0,0,0,2,0:00:02
20200722_135235_902574794,13,0.087802,0.1389,12,52,0,0,0,2,0:00:02
20200722_135235_902674790,14,0.072842,0.1089,13,52,0,0,0,2,0:00:02
20200722_135235_902758120,15,0.049844,0.1252,13,52,0,0,0,2,0:00:02
20200722_135235_902858116,17,0.042994,0.156,14,52,0,0,0,2,0:00:02
20200722_135235_902958112,18,0.046944,0.1833,14,52,0,0,0,2,0:00:02
20200722_135236_903041442,20,0.035704,0.1875,14,52,0,0,0,2,0:00:03
20200722_135236_903141438,21,0.028062,0.2041,14,52,0,0,0,2,0:00:03
20200722_135236_903224768,22,0.027586,0.2265,14,52,0,0,0,2,0:00:03
20200722_135236_903341430,23,0.028318,0.2675,14,52,0,0,0,2,0:00:03
20200722_135236_903424760,24,0.023269,0.2808,13,52,0,0,0,2,0:00:03
20200722_135236_903508090,25,0.016579,0.2804,13,52,0,0,0,2,0:00:03
20200722_135236_903591420,25,0.004864,0.2721,13,52,0,0,0,2,0:00:03
20200722_135236_903691416,26,-0.050503,0.1966,10,52,0,0,0,2,0:00:03
20200722_135236_903791412,27,-0.115542,0.0914,8,52,0,0,0,2,0:00:03
20200722_135236_903858076,27,-0.164299,-0.0106,4,52,0,0,0,0,0:00:03
20200722_135237_903958072,28,-0.169572,-0.1078,2,51,0,0,0,0,0:00:04
20200722_135237_904058068,28,-0.157959,-0.1059,0,51,0,0,0,0,0:00:04
20200722_135237_904141398,28,-0.099255,-0.1021,-2,51,0,0,0,0,0:00:04
20200722_135237_904241394,29,-0.089806,-0.1305,-3,51,0,0,0,0,0:00:04
20200722_135237_904341390,30,-0.086347,-0.2148,-5,50,0,0,0,0,0:00:04
20200722_135237_904424720,30,-0.074665,-0.2212,-6,50,0,0,0,0,0:00:04
20200722_135237_904524716,31,-0.039369,-0.1814,-6,50,0,0,0,0,0:00:04
20200722_135237_904608046,31,-0.004295,-0.1681,-6,50,0,0,0,0,0:00:04
20200722_135237_904691376,32,-0.011297,-0.1966,-6,49,0,0,0,0,0:00:04
20200722_135237_904791372,33,-0.03997,-0.2827,-7,48,0,0,0,0,0:00:04
20200722_135237_904891368,34,-0.091262,-0.4132,-8,48,0,0,0,1,0:00:04
20200722_135238_904974698,34,-0.051739,-0.3328,-8,47,0,0,0,1,0:00:05
20200722_135238_905058028,35,-0.0028,-0.2964,-8,44,0,0,0,1,0:00:05
20200722_135238_905141358,35,-0.00966,-0.3222,-8,37,0,0,0,1,0:00:05
20200722_135238_905241354,35,-0.008173,-0.3339,-8,25,0,0,0,1,0:00:05
20200722_135238_905341350,36,-0.005978,-0.3358,-8,16,0,0,0,1,0:00:05
20200722_135238_905424680,36,0.065275,-0.1966,-6,0,0,0,0,0,0:00:05
20200722_135238_905541342,36,0.141598,-0.0398,-4,0,0,0,0,0,0:00:05
